"Model.Year","Type","MPG","Weight","Horsepower","Acceleration","CO2"
2008,"Van",20.39302,4500,241.8963,8.9064,435.7864
2009,"Van",20.3944,4835.321,241.9881,9.0603,435.75695
2010,"Van",20.17616,4840.431,244,9.1116,440.47034
2011,"Van",22.3059,4500,248,8.6086,398.41478
2012,"Van",22.32039,4500,248,8.6058,398.15607
2013,"Van",22.29368,4500,248,8.6132,398.63318
2014,"Van",23.05197,4500,248,8.4094,385.52027
2015,"Van",23.05197,4500,248,8.4094,385.52027
2016,"Van",23.05197,4500,248,8.4094,385.52027
2017,"Van",23.19172,4500,248,8.4094,383.19714
2018,"Van",23.2695,4598.444,280,7.1581,381.91631
2019,"Van",23.2303,4574.966,280,7.1601,382.56065
2020,"Van",23.61242,4568.292,280,6.9884,376.3697
2021,"Van",23.62744,4534.28,280,6.9597,376.13041
2006,"Truck",17.19925,4500,247,8.6482,516.70852
2007,"Truck",17.19925,4500,247,8.7229,516.70852
2008,"Truck",17.19925,4500,247,8.777,516.70852
2009,"Truck",17.63814,4500,250,8.5157,503.8514
2010,"Truck",17.63814,4500,250,8.6041,503.8514
2011,"Truck",17.67944,4500,250,8.6041,502.67444
2012,"Truck",18.1226,5000,250,9.1289,490.38203
2013,"Truck",18.1226,5000,250,9.1289,490.38203
2014,"Truck",18.1226,5000,250,9.1289,490.38203
2017,"Truck",21.80855,4500,280,7.7488,407.50081
2018,"Truck",21.75753,4500,280,7.7598,408.45621
2019,"Truck",21.74734,4500,280,7.762,408.64771
2020,"Truck",21.26813,4500,280,7.1209,417.85534
2021,"Truck",20.9542,4500,280,7.1276,424.11536
1978,"Sedan",28.62626,2125.731,63.1319,14.7906,310.44924
1979,"Sedan",24.66368,2307.891,64.2446,17.1348,360.32744
1980,"Sedan",24.79906,2330,67.9808,17.0027,358.36033
1981,"Sedan",26.15433,2342.626,71.1884,16.0922,339.79073
1982,"Sedan",28.39751,2353.727,71.4724,17.1976,312.94997
1983,"Sedan",29.98847,2379.661,73.5538,15.6151,296.34727
1984,"Sedan",29.94806,2379.815,84.3079,14.0604,296.74706
1985,"Sedan",28.75468,2432.427,84.4769,14.0765,309.06269
1986,"Sedan",28.4728,2564.539,89.8552,13.6089,312.12245
1987,"Sedan",27.73391,2632.956,92.9923,13.9494,320.438
1988,"Sedan",26.74169,2769.748,105.2522,13.1202,332.32755
1989,"Sedan",26.2212,2800.162,110.2078,12.177,338.92423
1990,"Sedan",25.37107,2884.394,121.2141,10.9125,350.28084
1991,"Sedan",25.19746,2913.081,129.5877,10.7296,352.69432
1992,"Sedan",25.68212,3015.46,135.356,10.3288,346.03842
1993,"Sedan",26.53964,2976.768,124.7867,10.1409,334.85759
1994,"Sedan",26.37045,3054.783,133.249,9.7561,337.00606
1995,"Sedan",26.81107,2995.338,130.4891,10.0609,331.46751
1996,"Sedan",25.96669,3046.204,134.3582,10.3923,342.24622
1997,"Sedan",26.09754,3018.855,133.0052,10.4243,340.5302
1998,"Sedan",25.9062,3172.762,144.3601,10.541,343.04531
1999,"Sedan",25.02894,3220.668,152.7543,10.2626,355.06899
2000,"Sedan",25.00455,3195.265,153.3492,9.7629,355.41533
2001,"Sedan",25.85427,3189.344,153.7708,9.5701,343.7343
2002,"Sedan",25.52911,3218.483,156.5542,9.6315,348.11239
2003,"Sedan",26.10129,3283.024,169.6353,9.1519,340.48132
2004,"Sedan",26.00345,3295.737,171.0743,9.1601,341.76231
2005,"Sedan",26.00413,3307.731,173.5283,9.0084,341.75334
2006,"Sedan",26.48938,3335.618,177.6318,8.8022,335.49294
2007,"Sedan",26.74146,3288.903,170.6646,9.0727,332.33042
2008,"Sedan",27.07515,3333.642,175.4167,9.0639,328.23462
2009,"Sedan",27.33071,3303.046,172.4959,8.9661,325.16536
2010,"Sedan",27.99712,3297.86,174.0763,8.9572,317.42429
2011,"Sedan",28.31514,3321.65,170.0935,9.0818,313.85371
2012,"Sedan",29.4326,3269.377,168.1475,9.1056,301.94406
2013,"Sedan",30.76187,3257.285,170.4725,8.8904,288.85574
2014,"Sedan",30.96361,3356.555,179.9153,8.4547,286.94874
2015,"Sedan",31.63325,3275.985,172.7301,8.5388,280.93861
2016,"Sedan",32.59349,3249.817,179.105,8.261,272.66184
2017,"Sedan",32.84207,3302.874,177.7774,8.2701,270.34746
2018,"Sedan",33.63993,3301.088,178.3603,8.1131,262.60463
2019,"Sedan",33.43682,3250.731,170.9308,8.2412,265.2039
2020,"Sedan",33.2259,3259.901,174.7696,8.1955,267.18108
2021,"Sedan",32.38007,3335.934,180.8856,8.0252,274.13842
1994,"SUV",16.53019,4000,175,9.9451,537.62242
1996,"SUV",15.6602,4500,190,10.512,567.48953
1997,"SUV",20.35421,3672.813,137.0601,12.2549,436.61722
1998,"SUV",20.55616,3605.594,141.392,12.2411,432.32787
1999,"SUV",20.76944,3586.894,155.8378,11.3095,427.88821
2000,"SUV",20.90459,3610.776,152.5358,10.9978,425.12189
2001,"SUV",20.10609,3864.676,177.9535,10.2098,442.00532
2002,"SUV",20.66815,3823.9,185.2178,9.8907,429.9852
2003,"SUV",19.76189,4061.096,202.1322,9.5561,449.704
2004,"SUV",19.46566,4082.167,205.7627,9.4708,456.54747
2005,"SUV",19.24231,4094.849,213.7963,9.1539,461.84686
2006,"SUV",19.5199,4100.751,206.7208,9.3792,455.27907
2007,"SUV",19.87253,4231.261,215.076,9.425,447.2003
2008,"SUV",20.08629,4211.627,213.029,9.5577,442.441
2009,"SUV",20.40935,4244.358,216.8161,9.2739,435.43773
2010,"SUV",21.39159,4236.67,223.2432,9.0976,415.44366
2011,"SUV",20.85068,4321.003,226.1019,9.0782,426.22111
2012,"SUV",22.20025,4269.406,228.7354,8.8987,400.31076
2013,"SUV",22.95705,4144.78,222.1694,8.9377,387.11421
2014,"SUV",23.91987,4010.552,219.9684,8.8708,371.53209
2015,"SUV",25.22813,4117.815,219.0045,8.8386,352.26547
