device_brand,os,screen_size,X4g,X5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_new_price,normalized_used_price
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,127,4.715100245,4.307572449
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,325,5.519017936,5.162096647
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,162,5.884630724,5.111083765
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,345,5.630960854,5.135386588
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,293,4.947837479,4.389994804
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,223,5.060694494,4.413888608
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,234,4.518958489,3.878259375
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,219,5.18872569,4.729421148
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,161,5.299916088,4.886054204
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,327,5.073610093,4.773223771
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,268,4.713665782,4.26703657
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,344,4.770176021,4.657383057
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,537,6.213967894,5.383255763
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,336,5.398750764,4.617592706
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,230,4.487512143,4.111365547
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,248,4.866225902,4.411221293
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,395,5.517934708,5.022366217
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,421,5.193179048,4.777020443
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,532,4.792313433,4.248638089
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,266,5.517051209,4.267877613
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,321,5.304001183,4.556295018
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,933,5.48438191,4.45213555
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,187,5.195730778,4.560800238
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,499,5.39771011,4.595624773
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,497,5.006091654,4.426521875
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,202,6.039968956,5.213467289
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,493,5.631426812,4.636668853
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,91,5.520380334,4.905496976
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,299,5.39603374,4.820442843
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,354,5.558024257,4.577901759
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,306,5.478970866,4.872828107
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,231,4.598246271,4.170533701
Huawei,Android,15.37,yes,yes,10.5,16,128,8,4000,189,2020,205,5.765661212,4.709440107
Huawei,Android,25.5,yes,no,8,8,64,4,7250,450,2020,211,5.51877732,5.133088887
Huawei,Android,16.71,yes,yes,10.5,16,256,8,4200,226,2020,120,7.244220373,6.153455837
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,161,5.0681492,4.644390899
Huawei,Android,25.6,yes,yes,13,8,128,6,7250,460,2020,139,6.310336373,5.18245748
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,93,4.95342982,4.322143925
Huawei,Android,16.74,yes,no,13,16,128,6,4000,206,2019,460,5.672429397,5.065439086
Huawei,Android,15.34,yes,no,13,16,128,8,4200,183,2019,223,5.634110801,4.931375613
Huawei,Android,25.6,yes,no,13,8,128,6,7250,460,2019,256,6.107267847,4.997685135
Huawei,Android,15.9,yes,no,13,32,64,6,4000,178,2019,206,5.294560318,4.99653637
Huawei,Android,15.32,yes,no,13,16,64,6,4000,163,2019,488,5.306731865,4.537426534
Huawei,Android,16.23,yes,no,13,8,64,4,4000,176,2019,516,5.010968572,4.705286977
Huawei,Android,16.59,yes,yes,13,16,512,12,4500,198,2019,289,7.438006989,5.674182005
Huawei,Android,16.81,yes,yes,13,16,128,6,4200,196,2019,477,6.477264628,5.380450196
Huawei,Android,16.81,yes,no,13,16,128,6,4200,196,2019,195,6.313729189,5.014826499
Huawei,Android,15.9,yes,no,13,32,128,6,4000,178,2019,244,5.67029463,5.143474781
Huawei,Android,16.74,yes,no,13,16,128,4,4000,163.5,2019,376,5.250281918,4.839293241
Huawei,Android,25.6,yes,no,13,8,64,4,7500,498,2019,205,5.704781975,4.936629881
Huawei,Android,20.42,yes,no,13,8,128,6,6100,340,2019,406,5.856932654,5.294259143
Huawei,Android,20.42,yes,no,13,8,64,4,6100,320,2019,462,5.556287375,5.001190835
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,333,5.9652489,5.428204627
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,284,5.885520528,5.378560054
Huawei,Android,15.34,yes,no,13,24,128,6,4000,178,2019,202,5.562948291,5.058853866
Huawei,Android,15.34,yes,no,13,16,64,4,4000,178,2019,445,5.637785112,5.043683148
Huawei,Android,16.74,yes,no,13,16,64,4,4000,196.8,2019,375,5.638105528,4.607467545
Huawei,Android,10.16,no,no,5,2,16,4,1700,136.1,2014,666,4.70311326,3.579343567
Huawei,Android,17.78,no,no,3.15,0.3,8,1,4100,350,2013,819,5.016551095,3.982295058
Lava,Android,12.7,no,no,5,0.3,8,0.5,3000,147.6,2016,819,4.113002744,3.495598057
Lenovo,Android,25.43,yes,no,8,5,32,3,7000,520,2020,233,5.20136584,4.726768158
Lenovo,Android,25.43,no,no,8,5,64,4,7000,580,2019,419,5.775141434,5.214881408
Lenovo,Android,15.47,yes,no,8,5,16,2,4000,172,2019,267,4.591071262,3.940610462
Lenovo,Android,20.32,yes,no,13,5,16,2,5100,305,2019,461,5.066133071,4.779375562
Lenovo,Android,20.32,yes,no,5,2,16,2,5000,305,2019,423,4.938064601,4.463721822
Lenovo,Android,17.78,yes,no,2,2,32,1,3590,236,2019,528,4.606768907,3.896096855
Lenovo,Android,16.23,yes,no,8,16,64,6,4000,159,2019,254,5.524974737,4.423648309
Lenovo,Android,16.23,yes,yes,8,32,128,6,4000,185,2019,370,5.992264227,5.342812606
Lenovo,Android,15.32,yes,no,8,16,64,4,4050,164,2019,482,5.062468443,4.676839473
